id,general_team,general_city,general_team_name,full_name,is_active,draft_team,draft_city,draft_team_name,organization_type,seniority,position,from_year,to_year,g-league,greatest_75_flag,height_definitivo,weight,hub,num_equipos
120,1610612737,Atlanta,Hawks,Steven Smith,Inactive,1610612748.0,Miami,Heat,College/University,15.0,Guard-Forward,1991.0,2004.0,No,No,203.2,100.2,USA,1
32,1610612753,Orlando,Magic,Clifford Rozier,Inactive,1610612744.0,Golden State,Warriors,College/University,4.0,Center,1994.0,1997.0,No,No,210.82,111.1,USA,1
440,1610612761,Toronto,Raptors,Zan Tabak,Inactive,1610612745.0,Houston,Rockets,Other Team/Club,6.0,Center,1994.0,2000.0,No,No,213.36,116.6,Eastern Europe,1
914,1610612746,Los Angeles,Clippers,Stanley Roberts,Inactive,1610612753.0,Orlando,Magic,College/University,9.0,Center,1991.0,1999.0,No,No,213.36,131.5,USA,1
291,1610612748,Miami,Heat,Ed Pinckney,Inactive,1610612756.0,Phoenix,Suns,College/University,12.0,Forward,1985.0,1996.0,No,No,205.74,108.9,USA,1
420,1610612751,New Jersey,Nets,Jayson Williams,Inactive,1610612756.0,Phoenix,Suns,College/University,9.0,Forward,1990.0,1998.0,No,No,205.74,108.9,USA,1
762,1610612751,New Jersey,Nets,Shawn Bradley,Inactive,1610612755.0,Philadelphia,76ers,College/University,13.0,Center,1993.0,2004.0,No,No,228.6,124.7,USA,1
93,1610612761,Toronto,Raptors,Hubert Davis,Inactive,1610612752.0,New York,Knicks,College/University,13.0,Guard,1992.0,2003.0,No,No,195.58,83.0,USA,2
1108,1610612748,Miami,Heat,Tony Farmer,Inactive,0.0,Undrafted,Undrafted,Unknown,3.0,Forward,1997.0,1999.0,No,No,205.74,110.7,USA,1
238,1610612739,Cleveland,Cavaliers,Tyrone Hill,Inactive,1610612744.0,Golden State,Warriors,College/University,14.0,Forward,1990.0,2003.0,No,No,205.74,113.4,USA,2
168,1610612739,Cleveland,Cavaliers,Chris Mills,Inactive,1610612739.0,Cleveland,Cavaliers,College/University,11.0,Forward,1993.0,2002.0,No,No,200.66,99.8,USA,2
934,1610612755,Philadelphia,76ers,Derrick Coleman,Inactive,1610612751.0,New Jersey,Nets,College/University,15.0,Forward,1990.0,2004.0,No,No,208.28,122.5,USA,2
984,1610612738,Boston,Celtics,Steve Hamer,Inactive,1610612738.0,Boston,Celtics,College/University,1.0,Center,1996.0,1996.0,No,No,213.36,111.1,USA,1
997,1610612763,Vancouver,Grizzlies,Chris Robinson,Inactive,1610612763.0,Vancouver,Grizzlies,College/University,2.0,Guard,1996.0,1997.0,No,No,195.58,90.7,USA,1
65,1610612738,Boston,Celtics,Greg Minor,Inactive,1610612746.0,Los Angeles,Clippers,College/University,5.0,Guard,1994.0,1998.0,No,No,198.12,95.3,USA,1
971,1610612755,Philadelphia,76ers,Mark Hendrickson,Inactive,1610612755.0,Philadelphia,76ers,College/University,4.0,Forward,1996.0,1999.0,No,No,205.74,99.8,USA,1
