id,general_team,general_city,general_team_name,general_team_abbv,full_name,is_active,draft_team,draft_city,draft_team_name,draft_team_abbrv,organization_type,birthdate,country,weight,seniority,position,from_year,to_year,g-league,nba,draft_year,draft_round,draft_number,greatest_75_flag,jersey_def,organization_def,height_definitivo
120,1610612737,Atlanta,Hawks,ATL,Steven Smith,0.0,1610612748.0,Miami,Heat,MIA,College/University,31/03/1969 00:00,USA,221.0,15.0,Guard-Forward,1991.0,2004.0,N,Y,1991,1,5,N,8.0,Michigan State,203.2
32,1610612753,Orlando,Magic,ORL,Clifford Rozier,0.0,1610612744.0,Golden State,Warriors,GOS,College/University,31/10/1972 00:00,USA,245.0,4.0,Center,1994.0,1997.0,N,Y,1994,1,16,N,44.0,Louisville,210.82
440,1610612761,Toronto,Raptors,TOR,Zan Tabak,0.0,1610612745.0,Houston,Rockets,HOU,Other Team/Club,15/06/1970 00:00,Croatia,257.0,6.0,Center,1994.0,2000.0,N,Y,1991,2,51,N,3.0,Olimpia Milano,213.36
914,1610612746,Los Angeles,Clippers,LAC,Stanley Roberts,0.0,1610612753.0,Orlando,Magic,ORL,College/University,07/02/1970 00:00,USA,290.0,9.0,Center,1991.0,1999.0,N,Y,1991,1,23,N,53.0,Louisiana State,213.36
291,1610612748,Miami,Heat,MIA,Ed Pinckney,0.0,1610612756.0,Phoenix,Suns,PHX,College/University,27/03/1963 00:00,USA,240.0,12.0,Forward,1985.0,1996.0,N,Y,1985,1,10,N,54.0,Villanova,205.74
420,1610612751,New Jersey,Nets,NJN,Jayson Williams,0.0,1610612756.0,Phoenix,Suns,PHX,College/University,22/02/1968 00:00,USA,240.0,9.0,Forward,1990.0,1998.0,N,Y,1990,1,21,N,55.0,St. John's (NY),205.74
762,1610612751,New Jersey,Nets,NJN,Shawn Bradley,0.0,1610612755.0,Philadelphia,76ers,PHL,College/University,22/03/1972 00:00,USA,275.0,13.0,Center,1993.0,2004.0,N,Y,1993,1,2,N,45.0,Brigham Young,228.6
93,1610612761,Toronto,Raptors,TOR,Hubert Davis,0.0,1610612752.0,New York,Knicks,NYK,College/University,17/05/1970 00:00,USA,183.0,13.0,Guard,1992.0,2003.0,N,Y,1992,1,20,N,44.0,North Carolina,195.58
1108,1610612748,Miami,Heat,MIA,Tony Farmer,0.0,0.0,Undrafted,Undrafted,Undrafted,Unknown,03/01/1970 00:00,USA,244.0,3.0,Forward,1997.0,1999.0,N,Y,Undrafted,Undrafted,Undrafted,N,4.0,Nebraska,205.74
238,1610612739,Cleveland,Cavaliers,CLE,Tyrone Hill,0.0,1610612744.0,Golden State,Warriors,GOS,College/University,19/03/1968 00:00,USA,250.0,14.0,Forward,1990.0,2003.0,N,Y,1990,1,11,N,32.0,Xavier,205.74
168,1610612739,Cleveland,Cavaliers,CLE,Chris Mills,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,25/01/1970 00:00,USA,220.0,11.0,Forward,1993.0,2002.0,N,Y,1993,1,22,N,24.0,Arizona,200.66
934,1610612755,Philadelphia,76ers,PHI,Derrick Coleman,0.0,1610612751.0,New Jersey,Nets,NJN,College/University,21/06/1967 00:00,USA,270.0,15.0,Forward,1990.0,2004.0,N,Y,1990,1,1,N,44.0,Syracuse,208.28
984,1610612738,Boston,Celtics,BOS,Steve Hamer,0.0,1610612738.0,Boston,Celtics,BOS,College/University,13/11/1973 00:00,USA,245.0,1.0,Center,1996.0,1996.0,N,Y,1996,2,38,N,52.0,Tennessee,213.36
997,1610612763,Vancouver,Grizzlies,VAN,Chris Robinson,0.0,1610612763.0,Vancouver,Grizzlies,VAN,College/University,02/04/1974 00:00,USA,200.0,2.0,Guard,1996.0,1997.0,N,Y,1996,2,51,N,5.0,Western Kentucky,195.58
65,1610612738,Boston,Celtics,BOS,Greg Minor,0.0,1610612746.0,Los Angeles,Clippers,LAC,College/University,08/09/1971 00:00,USA,210.0,5.0,Guard,1994.0,1998.0,N,Y,1994,1,25,N,48.0,Louisville,198.12
971,1610612755,Philadelphia,76ers,PHI,Mark Hendrickson,0.0,1610612755.0,Philadelphia,76ers,PHI,College/University,23/06/1974 00:00,USA,220.0,4.0,Forward,1996.0,1999.0,N,Y,1996,2,31,N,14.0,Washington State,205.74
210,1610612739,Cleveland,Cavaliers,CLE,Terrell Brandon,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,20/05/1970 00:00,USA,173.0,12.0,Guard,1991.0,2002.0,N,Y,1991,1,11,N,48.0,Oregon,180.34
234,1610612742,Dallas,Mavericks,DAL,Khalid Reeves,0.0,1610612748.0,Miami,Heat,MIA,College/University,15/07/1972 00:00,USA,199.0,6.0,Guard,1994.0,1999.0,N,Y,1994,1,12,N,6.0,Arizona,190.5
955,1610612742,Dallas,Mavericks,DAL,Samaki Walker,0.0,1610612742.0,Dallas,Mavericks,DAL,College/University,25/02/1976 00:00,USA,260.0,11.0,Forward,1996.0,2005.0,N,Y,1996,1,9,N,52.0,Louisville,205.74
1381,1610612761,Toronto,Raptors,TOR,John Long,0.0,1610612765.0,Detroit,Pistons,DET,College/University,28/08/1956 00:00,USA,200.0,14.0,Guard,1978.0,1996.0,N,Y,1978,2,29,N,50.0,Detroit,195.58
209,1610612766,Charlotte,Hornets,CHH,Dell Curry,0.0,1610612762.0,Utah,Jazz,UTH,College/University,25/06/1964 00:00,USA,205.0,16.0,Guard-Forward,1986.0,2001.0,N,Y,1986,1,15,N,30.0,Virginia Tech,195.58
216,1610612753,Orlando,Magic,ORL,Brian Shaw,0.0,1610612738.0,Boston,Celtics,BOS,College/University,22/03/1966 00:00,USA,200.0,15.0,Guard,1988.0,2002.0,N,Y,1988,1,24,N,50.0,California-Santa Barbara,198.12
938,1610612753,Orlando,Magic,ORL,Rony Seikaly,0.0,1610612748.0,Miami,Heat,MIA,College/University,10/05/1965 00:00,USA,253.0,11.0,Center,1988.0,1998.0,N,Y,1988,1,9,N,32.0,Syracuse,210.82
1496,1610612751,New Jersey,Nets,NJN,Keith Van Horn,0.0,1610612755.0,Philadelphia,76ers,PHI,College/University,23/10/1975 00:00,USA,245.0,10.0,Forward,1997.0,2005.0,N,Y,1997,1,2,N,52.0,Utah,208.28
682,1610612739,Cleveland,Cavaliers,CLE,Bob Sura,0.0,1610612739.0,Cleveland,Cavaliers,CLE,College/University,25/03/1973 00:00,USA,200.0,11.0,Guard,1995.0,2006.0,N,Y,1995,1,17,N,3.0,Florida State,195.58
